fecha;Período;Meses;EMAE Original;A -  Agricultura, ganadería, caza y silvicultura ;D - Industria manufacturera;F - Construcción;"proxy ""EMAE""";"Proxy ""agro""";Proxy Industria;Proxy construcción;"Proxy ""EMAE"" (promedio mensual)";"Proxy ""agro"" (promedio mensual)";Proxy Industria (promedio mensual);Proxy construcción (promedio mensual);EMAE desestacionalizado;"""AGRO"" desestacionalizado";Industria desestacionalizado;Construcción desestacionalizada;Variación mensual EMAE;"Variación Mensual ""Agro"" (des)";Variación Mensual Industria (des);Variación Mensual Construcción (des);"""AGRO"" desestacionalizado BASE 100";Industria desestacionalizado BASE 100;Construcción desestacionalizada BASE 100;A -  Agricultura, ganadería, caza y silvicultura BASE 100;D - Industria manufacturera BASE 100;F - Construcción BASE 100
37987;2004;Enero;92,62750603;65,99535022;91,45461031;95,93804745;0,92627506;0,659953502;0,914546103;0,959380475;0,93275271;0,598682828;0,884380624;1,003859698;99,30553412;110,2342461;103,4109159;95,56917931;;;;;90,87227949;82,01396219;69,35853535;54,1534495;72,52664425;69,6279628
38018;2004;Febrero;90,18617932;64,92659777;89,42485185;98,8533877;0,901861793;0,649265978;0,894248519;0,988533877;0,909107014;0,582474697;0,87285171;1,002986986;99,20303983;111,4668125;102,4513682;98,55899336;-0,001032111;0,011181338;-0,00927898;0,031284291;91,8883532;81,25295631;71,52836797;53,27646904;70,91697614;71,74379908
38047;2004;Marzo;101,883298;110,6665595;101,4264329;103,1245292;1,01883298;1,106665595;1,014264329;1,031245292;1,011434063;1,119287133;1,000560165;1,01833225;100,7315274;98,87235926;101,3696491;101,2680578;0,015407669;-0,112988368;-0,010558366;0,027486731;81,50603815;80,39505785;73,49444895;90,80906337;80,43464171;74,84362121
38078;2004;Abril;102,5674303;150,0659204;98,43731178;95,81549162;1,025674303;1,500659204;0,984373118;0,958154916;1,032277334;1,626131642;0,979991785;0,951554504;99,36034329;92,28399258;100,4470785;100,6936453;-0,013612264;-0,066635071;-0,009101053;-0,005672199;76,07487751;79,66337814;73,07757379;123,138785;78,06416613;69,53901672
38108;2004;Mayo;109,8775039;209,3880763;100,3531383;97,99456692;1,098775039;2,093880763;1,003531383;0,979945669;1,108162712;2,318481742;1,015075982;0,969717968;99,15286154;90,31258366;98,86268622;101,0547088;-0,002088175;-0,021362415;-0,015773404;0,003585763;74,44973442;78,40681553;73,33961267;171,8164473;79,58348228;71,12050162
38139;2004;Junio;105,6624062;144,6613189;100,6669308;99,15678358;1,056624062;1,446613189;1,006669308;0,991567836;1,052380567;1,571597584;1,012665145;0,977632882;100,4032282;92,04730297;99,40791514;101,425377;0,012610495;0,019207947;0,005515012;0,003667995;75,87976097;78,83923008;73,60862199;118,7039602;79,83233048;71,96399157
38169;2004;Julio;101,1069973;94,86246436;102,5085335;98,90599791;1,011069973;0,948624644;1,025085335;0,989059979;1,007125346;0,89095642;1,028525315;1,012089485;100,3916719;106,47262;99,66554252;97,72455836;-0,000115099;0,156716346;0,002591618;-0,036488093;87,77135986;79,04355128;70,92278373;77,84078205;81,29278469;71,78198145
38200;2004;Agosto;98,35573694;64,86115725;101,0109396;102,0328115;0,983557369;0,648611573;1,010109396;1,020328115;0,992816092;0,594044722;1,045146999;1,048877335;99,06742824;109,1856468;96,64759083;97,27811643;-0,013190772;0,025480981;-0,030280793;-0,00456837;90,00786025;76,65004984;70,59878222;53,22277088;80,10514127;74,05129657
38231;2004;Septiembre;98,08637453;60,74989802;102,562718;106,8151267;0,980863745;0,60749898;1,02562718;1,068151267;0,981596577;0,561148165;1,038117159;1,038924939;99,92534288;108,2599959;98,79686234;102,8131318;0,008659906;-0,008477772;0,022238232;0,056898875;89,24479418;78,3546114;74,61577349;49,84921701;81,33575483;77,52210794
38261;2004;Octubre;97,83566598;62,66926439;105,905688;97,84211306;0,97835666;0,626692644;1,05905688;0,978421131;0,990711825;0,576042357;1,078389051;0,999194851;98,75290022;108,792806;98,20731015;97,92095407;-0,011733186;0,004921579;-0,005967317;-0,047583199;89,6840195;77,8870446;71,06531628;51,42418114;83,98684476;71,00985677
38292;2004;Noviembre;100,1319467;78,41525035;104,3751068;101,6555742;1,001319467;0,784152504;1,043751068;1,016555742;0,994248787;0,698834057;1,055526678;1,009218897;100,711158;112,2086847;98,88438541;100,7269826;0,019829876;0,03139802;0,006894347;0,028656058;92,49992017;78,4240249;73,10176808;64,34478013;82,77304137;73,77751295
38322;2004;Diciembre;101,6789548;92,73814255;101,8737382;101,8655701;1,016789548;0,927381425;1,018737382;1,018655701;0,98519384;0,800334998;0,996426639;0,968322059;103,207055;115,8741562;102,2390753;105,1980271;0,024782726;0,032666558;0,033925376;0,044387754;95,52157417;81,0845894;76,34659135;76,09763873;80,78937021;73,92991951
38353;2005;Enero;98,47335953;65,69547159;97,29836903;105,317046;0,90465648;0,548538445;0,905748534;0,936406799;0,93275271;0,598682828;0,884380624;1,003859698;105,5728475;109,7333487;110,0186576;104,912117;0,022922779;-0,052995488;0,076092064;-0,002717828;90,45936171;87,2544832;76,13909447;53,90737971;77,16094545;76,43486141
38384;2005;Febrero;96,11886613;69,2097487;94,70784582;109,0146912;0,883026186;0,577881656;0,881633406;0,969283718;0,909107014;0,582474697;0,87285171;1,002986986;105,7288797;118,8201807;108,5039357;108,6900356;0,001477958;0,082808299;-0,013767864;0,036010317;97,95014759;86,05317537;78,88088741;56,79107117;75,10657164;79,11846304
38412;2005;Marzo;110,6564259;138,5635769;107,569737;114,2310735;1,01658005;1,156966336;1,001364489;1,015664205;1,011434063;1,119287133;1,000560165;1,01833225;109,4054767;123,7962743;107,5095139;112,1746596;0,03477382;0,041879196;-0,009164846;0,032060198;102,052221;85,26451129;81,40982426;113,7003689;85,3064927;82,9043028
38443;2005;Abril;116,5451905;208,8998227;107,551657;108,7873836;1,070679038;1,744253921;1,001196182;0,967262655;1,032277334;1,626131642;0,979991785;0,951554504;112,9010458;128,4642752;109,7475087;114,3259615;0,031950585;0,037707119;0,020816714;0,019178146;105,9003163;87,03943823;82,97111372;171,4158037;85,29215461;78,95349236
38473;2005;Mayo;126,6619434;294,8643954;109,4359896;111,0551342;1,163619769;2,462033578;1,018737397;0,987425936;1,108162712;2,318481742;1,015075982;0,969717968;114,2990483;127,1799514;107,8106384;114,5231272;0,012382548;-0,009997517;-0,017648421;0,001724592;104,8415761;85,50332954;83,11420505;241,9552907;86,78649509;80,59933424
38504;2005;Junio;116,5022232;197,5538123;107,9651409;111,9818285;1,070284305;1,649517971;1,005045296;0,995665464;1,052380567;1,571597584;1,012665145;0,977632882;110,7035106;125,7025427;106,6148484;114,5438442;-0,031457285;-0,01161668;-0,011091577;0,000180898;103,623665;84,55496278;83,12924021;162,105669;85,62006156;81,27189152
38534;2005;Julio;107,5811393;98,41302759;108,6327053;108,8456504;0,988327962;0,821720703;1,011259639;0,967780724;1,007125346;0,89095642;1,028525315;1,012089485;106,8200098;110,4577343;105,6198653;107,5454809;-0,035080196;-0,121276849;-0,0093325;-0,061097681;91,05651342;83,76585358;78,05023642;80,75424862;86,14946304;78,99578004
38565;2005;Agosto;105,8208928;63,85265894;109,7218895;113,6808434;0,972156905;0,533151485;1,021398833;1,010771937;0,992816092;0,594044722;1,045146999;1,048877335;106,5866011;107,487966;104,9822557;108,3833539;-0,002185065;-0,026886015;-0,006036835;0,007790871;88,60836664;83,26017296;78,65831577;52,39523284;87,01322349;82,50496802
38596;2005;Septiembre;104,8921347;59,38842448;108,689219;117,9764181;0,963624577;0,495876401;1,011785724;1,048965236;0,981596577;0,561148165;1,038117159;1,038924939;106,8587006;105,8337676;104,698413;113,556248;0,002552848;-0,015389615;-0,002703721;0,047727754;87,24471797;83,03506071;82,41250055;48,73203999;86,19428033;85,62252275
38626;2005;Octubre;104,4606654;60,65839167;114,3141716;113,8916157;0,959660748;0,506480265;1,064148293;1,01264598;0,990711825;0,576042357;1,078389051;0,999194851;105,4400107;105,3019642;106,0045736;113,9833894;-0,013276316;-0,005024893;0,012475458;0,003761496;86,80632258;84,07096114;82,72249484;49,77413013;90,65506077;82,65793805
38657;2005;Noviembre;108,0037544;79,32336044;113,2083402;117,7480823;0,992210449;0,662327429;1,053854131;1,046935031;0,994248787;0,698834057;1,055526678;1,009218897;108,6285;113,5081493;107,2529407;116,6724907;0,030239843;0,077930028;0,011776539;0,023592045;93,57114177;85,0610261;84,67408769;65,08994314;89,7780985;85,45680584
38687;2005;Diciembre;110,5033239;100,7521621;109,9828464;117,1022031;1,01517353;0,841251809;1,023828076;1,041192316;0,98519384;0,800334998;0,996426639;0,968322059;112,1640427;125,8874876;110,3772642;120,9331152;0,0325471;0,109061229;0,029130424;0,036517816;103,7761255;87,53888983;87,76620042;82,67365963;87,22017131;84,98805275
38718;2006;Enero;106,5309479;69,22547689;104,8674034;122,0535355;0,905789774;0,591297512;0,894784997;0,965704625;0,93275271;0,598682828;0,884380624;1,003859698;114,2113518;115,6296349;118,5772286;121,584257;0,018252811;-0,081484291;0,074290339;0,005384314;95,32000154;94,04218363;88,23876116;56,80397716;83,16344942;88,58152999
38749;2006;Febrero;104,090137;66,79993515;102,7687969;123,9313251;0,885036542;0,570579463;0,87687856;0,980561959;0,909107014;0,582474697;0,87285171;1,002986986;114,4971224;114,682982;117,7391254;123,5622463;0,00250212;-0,00818694;-0,007067995;0,016268466;94,53962237;93,37749395;89,67427043;54,81366342;81,49918244;89,94435387
38777;2006;Marzo;118,5882765;126,9014854;118,4169295;128,279562;1,008308386;1,083943887;1,01039683;1,014965817;1,011434063;1,119287133;1,000560165;1,01833225;117,2476593;113,3770609;118,3506336;125,970244;0,02402276;-0,011387227;0,005193756;0,019488135;93,46307823;93,86247383;91,42185469;104,1308692;93,9086886;93,10012879
38808;2006;Abril;122,0871073;190,8932595;116,2765638;121,0632384;1,038057536;1,630537114;0,99213408;0,957869256;1,032277334;1,626131642;0,979991785;0,951554504;118,2696775;117,3910245;118,6505495;127,2268041;0,008716747;0,035403667;0,00253413;0,009975054;96,77201389;94,10033353;92,33379267;156,640255;92,21130513;87,86281233
38838;2006;Mayo;133,3710157;279,8455751;118,8646483;123,6345336;1,134000068;2,390333728;1,014217007;0,978213704;1,108162712;2,318481742;1,015075982;0,969717968;120,3532787;120,7020828;117,099262;127,495352;0,017617375;0,028205378;-0,013074423;0,002110781;99,50150513;92,87002594;92,52868905;229,6313781;94,26374497;89,72895465
38869;2006;Junio;124,2927478;188,657365;117,2865456;123,0438786;1,056811209;1,61143896;1,000751787;0,973540358;1,052380567;1,571597584;1,012665145;0,977632882;118,1062742;120,0417759;115,8196727;125,8589813;-0,018670073;-0,00547055;-0,01092739;-0,012834747;98,95717714;91,85519894;91,3411067;154,8055591;93,01225534;89,30028106
38899;2006;Julio;117,0456319;103,8080606;119,7807421;126,5982979;0,9951919;0,886688697;1,022033612;1,001663421;1,007125346;0,89095642;1,028525315;1,012089485;116,2175417;116,5130619;116,4587204;125,0860718;-0,015991805;-0,029395716;0,00551761;-0,006141076;96,04826002;92,36202008;90,78017405;85,18122183;94,9902388;91,87993516
38930;2006;Agosto;116,303608;71,25445278;120,7443975;128,1512665;0,988882769;0,608628247;1,030256037;1,013950725;0,992816092;0,594044722;1,045146999;1,048877335;117,1451681;119,9479603;115,5286267;122,1794601;0,007981811;0,029480801;-0,007986467;-0,023236893;98,87983965;91,62437382;88,67072485;58,468883;95,75445057;93,00701707
38961;2006;Septiembre;114,8024803;66,92231897;119,7106543;131,87538;0,976119285;0,571624819;1,021435585;1,043416431;0,981596577;0,561148165;1,038117159;1,038924939;116,9548499;119,2596236;115,3151678;126,9344637;-0,001624636;-0,005738628;-0,001847671;0,038918191;98,31240507;91,45508214;92,12162908;54,91408726;94,93465676;95,70982835
38991;2006;Octubre;116,4775083;62,94513535;124,1158904;127,9611087;0,990361373;0,53765324;1,059023425;1,01244617;0,990711825;0,576042357;1,078389051;0,999194851;117,5695145;109,2717134;115,0937969;128,0642195;0,005255572;-0,083749302;-0,001919703;0,008900308;90,07880978;91,27951551;92,94153996;51,65055109;98,42816014;92,86900821
39022;2006;Noviembre;118,1407823;80,07303428;123,8069285;131,1073868;1,004503523;0,683953193;1,056387196;1,037339961;0,994248787;0,698834057;1,055526678;1,009218897;118,8241654;114,5808987;117,2939832;129,9097621;0,010671566;0,048587005;0,019116463;0,014411071;94,45546938;93,02445703;94,28092709;65,70509897;98,18314273;95,15244983
39052;2006;Diciembre;119,6031721;97,5601152;119,741747;128,9572239;1,016937635;0,833321141;1,021700885;1,020327572;0,98519384;0,800334998;0,996426639;0,968322059;121,4006496;121,8990991;120,171162;133,1759643;0,021683167;0,063869288;0,024529636;0,025142084;100,4882729;95,30631313;96,6513461;80,05437889;94,95931436;93,59194839
39083;2007;Enero;114,7017648;69,90778196;109,9322332;135,7512381;0,894673845;0,545784951;0,872283305;0,969724367;0,93275271;0,598682828;0,884380624;1,003859698;122,9712481;116,769312;124,3042083;135,229294;0,012937315;-0,04208224;0,034392996;0,01541817;96,25950131;98,5841828;98,14153299;57,36385256;87,1800333;98,52276975
39114;2007;Febrero;112,7432483;69,77520594;109,6985187;138,7971446;0,879397415;0,544749902;0,870428841;0,991482472;0,909107014;0,582474697;0,87285171;1,002986986;124,0153761;119,7909649;125,6782996;138,3837941;0,008490831;0,025877115;0,011054262;0,023327047;98,75041953;99,6739582;100,4308852;57,25506537;86,99468963;100,7333657
39142;2007;Marzo;129,282765;135,0705145;126,8827038;142,9960394;1,008405657;1,05452429;1,006780822;1,021476826;1,011434063;1,119287133;1,000560165;1,01833225;127,8212488;120,6754822;126,8116683;140,421792;0,030688716;0,00738384;0,009018015;0,014727143;99,4795768;100,5728194;101,9099452;110,8340854;100,6223381;103,7807541
39173;2007;Abril;133,4630831;221,8499055;124,8581917;133,4748314;1,041012141;1,732029489;0,990716852;0,9534631;1,032277334;1,626131642;0,979991785;0,951554504;129,2899483;136,428011;127,4073861;140,2702955;0,011490261;0,130536282;0,004697657;-0,001078868;112,4652709;101,045276;101,7999979;182,0421835;99,01683054;96,87064562
39203;2007;Mayo;147,6079107;329,8088607;128,453943;137,0239639;1,151341806;2,574888058;1,019248191;0,978815947;1,108162712;2,318481742;1,015075982;0,969717968;133,2005753;142,2520845;126,5461358;141,3029029;0,030246953;0,042689719;-0,006759815;0,007361554;117,2663817;100,3622287;102,5494041;270,6294826;101,8683847;99,44646275
39234;2007;Junio;136,1209863;219,7014471;123,6138163;135,9865858;1,061743788;1,715256016;0,980843061;0,971405548;1,052380567;1,571597584;1,012665145;0,977632882;129,345781;139,7949764;122,0678099;139,0978028;-0,028939772;-0,017272914;-0,035388879;-0,015605483;115,2408496;96,81052192;100,9490711;180,2792345;98,02999817;98,69357559
39264;2007;Julio;127,3875519;109,5760561;123,1896312;142,8224896;0,993622993;0,855483621;0,977477264;1,020237091;1,007125346;0,89095642;1,028525315;1,012089485;126,4862933;122,9869986;119,7730668;141,1164642;-0,022107313;-0,12023306;-0,018798921;0,014512533;101,3850896;94,99058856;102,4140978;89,91423483;97,69360483;103,6547986
39295;2007;Agosto;126,5952277;70,40974559;128,4222529;144,0319464;0,987442864;0,549703888;1,018996738;1,028876715;0,992816092;0,594044722;1,045146999;1,048877335;127,5112568;118,5260014;122,8748233;137,3201056;0,008103356;-0,036272104;0,025896945;-0,026902308;97,70763905;97,45055463;99,65892211;57,77574615;101,8432534;104,5325736
39326;2007;Septiembre;123,5104633;64,36351214;131,0845525;144,6333954;0,963381699;0,502499655;1,040121384;1,033173102;0,981596577;0,561148165;1,038117159;1,038924939;125,8260941;114,699675;126,2714438;139,2144802;-0,013215796;-0,032282591;0,027642933;0,013795319;94,55338331;100,1443738;101,0337487;52,81442091;103,9545483;104,969081
39356;2007;Octubre;128,4153827;66,72752242;138,7600103;142,7465324;1,001640074;0,520955987;1,10102412;1,019694498;0,990711825;0,576042357;1,078389051;0,999194851;129,6193095;115,8378748;128,6734228;142,8615573;0,030146493;0,009923305;0,019022345;0,026197541;95,49166533;102,0493546;103,6805845;54,7542441;110,0414497;103,599672
39387;2007;Noviembre;129,7350895;83,9648034;136,6139928;143,2154342;1,011933788;0,655531113;1,083996037;1,023044048;0,994248787;0,698834057;1,055526678;1,009218897;130,4855396;120,1498447;129,4273235;141,9072064;0,006682878;0,03722418;0,005859024;-0,00668025;99,0462643;102,6472643;102,9879723;68,89854702;108,3395842;103,939982
39417;2007;Diciembre;128,8979284;95,88479503;130,8277071;138,3945089;1,005403931;0,748593028;1,038083384;0,988606287;0,98519384;0,800334998;0,996426639;0,968322059;130,8350938;119,8058255;131,2968782;142,9219831;0,002678873;-0,002863252;0,014444822;0,007150988;98,76266991;104,1299858;103,724438;78,67967043;103,7508611;100,441149
39448;2008;Enero;126,2268925;66,47801641;121,8446025;147,9151665;0,946181077;0,532165044;0,933019252;1,014038546;0,93275271;0,598682828;0,884380624;1,003859698;135,3272858;111,0404596;137,7739395;147,3464538;0,034334764;-0,073163102;0,049331419;0,030957244;91,53688658;109,2668657;106,9354608;54,5495083;96,6269509;107,350858
39479;2008;Febrero;122,8249045;68,68449956;119,0599565;150,6273931;0,920680199;0,549828224;0,911695957;1,032632327;0,909107014;0,582474697;0,87285171;1,002986986;135,1050015;117,9184263;136,4034179;150,178811;-0,001642568;0,061941086;-0,009947611;0,019222432;97,20678077;108,1799214;108,9910204;56,36007031;94,41863107;109,3192826
39508;2008;Marzo;132,3341273;134,9940822;129,6635836;151,2994618;0,991960149;1,080644935;0,992892728;1,037239722;1,011434063;1,119287133;1,000560165;1,01833225;130,838116;120,6071957;129,5909912;148,5757343;-0,031581995;0,022801944;-0,049943226;-0,010674454;99,42328438;102,7770672;107,8276008;110,7713678;102,8276712;109,8070429
39539;2008;Abril;145,2804986;220,2386178;137,3136012;148,6845281;1,089004537;1,76303837;1,051472374;1,019312936;1,032277334;1,626131642;0,979991785;0,951554504;140,7378558;135,4371394;140,1170941;156,2543475;0,075664035;0,122960687;0,081225576;0,051681476;111,6484398;111,1251937;113,4002904;180,7200178;108,8943977;107,9092296
39569;2008;Mayo;154,1561639;321,7207917;137,4869268;149,0992567;1,15553542;2,575416182;1,052799606;1,022156125;1,108162712;2,318481742;1,015075982;0,969717968;139,1096833;138,7635649;135,444961;153,755279;-0,011568831;0,02456066;-0,03334449;-0,015993594;114,3905991;107,4197807;111,5866122;263,9926993;109,0318508;108,2102229
39600;2008;Junio;140,5034842;211,8574064;128,3331933;147,0654583;1,053196632;1,695945698;0,982705327;1,008213336;1,052380567;1,571597584;1,012665145;0,977632882;133,5101471;134,8038509;126,7281628;150,4301472;-0,04025267;-0,028535689;-0,064356755;-0,021626131;111,1263845;100,5065922;109,1734255;173,8426922;101,7726261;106,7341741
39630;2008;Julio;136,6386881;110,9787892;136,754644;152,1360723;1,024226601;0,888399435;1,047192186;1,04297514;1,007125346;0,89095642;1,028525315;1,012089485;135,6719783;124,5614113;132,9618649;150,3187955;0,016192262;-0,075980319;0,049189556;-0,000740222;102,6829664;105,4504668;109,092613;91,065268;108,4511254;110,4142211
39661;2008;Agosto;131,3409214;70,81371768;134,0963383;149,6128287;0,984515202;0,566872888;1,026836336;1,025676939;0,992816092;0,594044722;1,045146999;1,048877335;132,2912899;119,2060379;128,3038065;142,6409206;-0,024918104;-0,04299384;-0,035033041;-0,051077278;98,26823133;101,7562163;103,5204593;58,10723136;106,3429978;108,5829527
39692;2008;Septiembre;132,1859385;67,16126081;140,7795342;149,9884183;0,990849344;0,537634503;1,078012591;1,028251809;0,981596577;0,561148165;1,038117159;1,038924939;134,6642211;119,6854325;135,6104492;144,3688688;0,017937169;0,004021563;0,056947981;0,012113972;98,6634232;107,5510274;104,7745033;55,11015448;111,6430015;108,8555405
39722;2008;Octubre;130,3951788;66,49249092;137,1768347;138,2809938;0,977426033;0,532280914;1,050425091;0,947991076;0,990711825;0,576042357;1,078389051;0,999194851;131,6176668;115,429864;127,2053296;138,3924204;-0,022623339;-0,035556278;-0,061979882;-0,041397072;95,15531912;100,8850275;100,4371457;54,56138557;108,7859372;100,3587643
39753;2008;Noviembre;125,5275633;80,22294439;126,1021832;136,1941091;0,940938992;0,642194954;0,965621474;0,933684352;0,994248787;0,698834057;1,055526678;1,009218897;126,2536751;114,7954133;119,4684946;134,9500189;-0,040754344;-0,005496417;-0,060821626;-0,024874206;94,63230582;94,74903602;97,93885142;65,82810991;100,0033585;98,84418763
39783;2008;Diciembre;123,4660058;79,39646138;118,4894171;129,5051173;0,925485814;0,635578852;0,907327079;0,887827691;0,98519384;0,800334998;0,996426639;0,968322059;125,3215366;99,20403533;118,9143409;133,7417816;-0,00738306;-0,135818824;-0,004638492;-0,00895322;81,77945736;94,30954336;97,06198331;65,14992719;93,96617371;93,98958731
39814;2009;Enero;116,7584192;58,55011019;105,1912272;125,9926103;0,930264519;0,636439517;0,868552185;0,984949539;0,93275271;0,598682828;0,884380624;1,003859698;125,176178;97,79821203;118,9433875;125,5081867;-0,001159885;-0,014171029;0,000244264;-0,061563371;80,62055827;94,33257982;91,08652042;48,04414894;83,42025279;91,44035155
39845;2009;Febrero;114,8588615;62,70700973;103,2542688;126,562383;0,915129926;0,681625002;0,852558937;0,989403748;0,909107014;0,582474697;0,87285171;1,002986986;126,3425094;107,6561954;118,295316;126,1854688;0,009317519;0,100799219;-0,005448571;0,005396318;88,74704753;93,81860208;91,57805226;51,45515363;81,88417834;91,85386957
39873;2009;Marzo;126,1656026;107,0931905;117,24068;127,4866589;1,005215593;1,16410265;0,968043168;0,996629291;1,011434063;1,119287133;1,000560165;1,01833225;124,7393253;95,67981923;117,1750426;125,1916149;-0,01268919;-0,111246511;-0,009470142;-0,007876136;78,87424812;92,93012665;90,8567711;87,87688322;92,97588236;92,52467169
